               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079245,            0.026775,            0.049728,              0.3667,             0.50042,             0.39903,             0.20424,            0.047926,            0.011922,            0.037297,            0.070227,           0.0033081,           0.0033081
                   1,            0.052641,            0.019794,            0.037062,             0.37566,             0.61654,             0.46826,             0.26139,            0.047312,           0.0084627,            0.026122,            0.040162,           0.0065757,           0.0065757
                   2,            0.051059,            0.018218,            0.028149,              0.5767,             0.61942,             0.62911,             0.36363,            0.041828,           0.0091679,            0.024807,             0.01003,           0.0097772,           0.0097772
                   3,            0.046813,            0.018064,            0.025348,               0.642,             0.67831,             0.71436,             0.40081,            0.038363,           0.0091994,            0.021037,            0.009703,            0.009703,            0.009703
                   4,            0.044222,            0.017868,             0.02343,             0.73262,             0.68157,             0.76693,             0.48124,            0.039617,            0.008957,            0.017814,            0.009703,            0.009703,            0.009703
                   5,            0.042622,            0.017929,            0.021624,              0.7325,             0.65375,             0.74657,             0.42782,            0.038425,           0.0093844,            0.024374,            0.009604,            0.009604,            0.009604
                   6,            0.040069,            0.017256,             0.02145,             0.62067,              0.6117,             0.65998,             0.37742,            0.037851,           0.0092384,            0.020967,            0.009505,            0.009505,            0.009505
                   7,            0.039939,            0.017234,            0.020889,              0.7451,             0.73174,             0.79535,              0.5211,            0.034166,            0.008825,            0.017007,            0.009406,            0.009406,            0.009406
                   8,            0.037277,            0.017373,            0.019624,             0.68532,             0.71991,             0.77049,             0.50904,            0.033774,           0.0090805,            0.021649,            0.009307,            0.009307,            0.009307
                   9,            0.036331,            0.017187,            0.019402,             0.76409,              0.6552,             0.74865,             0.49499,            0.034974,           0.0092526,            0.020606,            0.009208,            0.009208,            0.009208
                  10,            0.036041,            0.016735,            0.018951,             0.82642,             0.81487,             0.87823,             0.58323,            0.033727,           0.0084012,            0.010943,            0.009109,            0.009109,            0.009109
                  11,            0.035014,            0.016758,            0.017656,             0.70867,             0.71111,             0.76892,             0.50178,            0.033226,           0.0091386,            0.016388,             0.00901,             0.00901,             0.00901
                  12,            0.034865,            0.016537,            0.017689,             0.87717,             0.80752,             0.89912,             0.61338,             0.03127,           0.0078274,            0.012011,            0.008911,            0.008911,            0.008911
                  13,            0.034274,            0.016293,            0.017155,              0.8438,             0.81016,             0.90075,             0.61561,            0.030435,           0.0083013,            0.011505,            0.008812,            0.008812,            0.008812
                  14,            0.033082,            0.015954,            0.016135,             0.84007,             0.77855,             0.86495,              0.6046,            0.031024,           0.0085453,            0.012472,            0.008713,            0.008713,            0.008713
                  15,            0.033125,            0.015982,            0.016866,             0.83467,             0.81302,             0.88108,             0.61169,            0.031144,           0.0078963,            0.012104,            0.008614,            0.008614,            0.008614
                  16,            0.032653,            0.016399,            0.015411,             0.80688,             0.74573,             0.87243,               0.599,            0.029739,           0.0081144,            0.015367,            0.008515,            0.008515,            0.008515
                  17,            0.031578,             0.01551,            0.014096,             0.85162,             0.84563,             0.90017,             0.63952,            0.027867,            0.007488,            0.012751,            0.008416,            0.008416,            0.008416
                  18,            0.030928,            0.015393,            0.013652,             0.85359,             0.77556,             0.88222,             0.63663,              0.0287,           0.0079283,            0.013791,            0.008317,            0.008317,            0.008317
                  19,            0.030917,            0.015677,            0.013758,             0.85576,             0.80851,              0.8919,             0.64436,            0.030513,           0.0076262,            0.011288,            0.008218,            0.008218,            0.008218
                  20,            0.030986,            0.015093,            0.013954,              0.8852,             0.84732,             0.91385,             0.67772,            0.027175,           0.0069759,             0.01375,            0.008119,            0.008119,            0.008119
                  21,            0.030541,            0.015519,            0.013288,              0.8324,             0.80171,             0.87975,               0.642,            0.027432,           0.0078742,            0.015457,             0.00802,             0.00802,             0.00802
                  22,            0.029582,            0.015199,            0.013864,             0.90323,             0.84484,             0.92603,             0.66932,            0.027592,           0.0070192,            0.012149,            0.007921,            0.007921,            0.007921
